Alpha,K,Accuracy
25,110,0.9430952380952381
25,112,0.9430952380952381
25,114,0.9430952380952381
25,116,0.9429761904761905
25,118,0.9421428571428572
25,120,0.9422619047619047
25,122,0.9414285714285714
25,124,0.9411904761904762
25,126,0.9411904761904762
25,128,0.9408333333333333
25,130,0.9408333333333333
25,132,0.940952380952381
25,134,0.9403571428571429
25,136,0.94
25,138,0.9398809523809524
25,140,0.9394047619047619
25,142,0.939047619047619
25,144,0.9386904761904762
25,146,0.9383333333333334
25,148,0.9380952380952381
25,150,0.9373809523809524
30,1,0.9682142857142857
30,2,0.9647619047619047
30,4,0.9716666666666667
30,6,0.9716666666666667
30,8,0.9713095238095238
30,10,0.9703571428571428
30,12,0.9696428571428571
30,14,0.9698809523809524
30,16,0.9686904761904762
30,18,0.9677380952380953
30,20,0.965952380952381
30,22,0.9647619047619047
30,24,0.9646428571428571
30,26,0.9639285714285715
30,28,0.9619047619047619
30,30,0.9607142857142857
30,32,0.9602380952380952
30,34,0.9596428571428571
30,36,0.9596428571428571
30,38,0.9594047619047619
30,40,0.9585714285714285
30,42,0.958452380952381
30,44,0.9577380952380953
30,46,0.9567857142857142
30,48,0.9560714285714286
30,50,0.9558333333333333
30,52,0.9557142857142857
30,54,0.9547619047619048
30,56,0.9541666666666667
30,58,0.9542857142857143
30,60,0.9546428571428571
30,62,0.9534523809523809
30,64,0.9536904761904762
30,66,0.9533333333333334
30,68,0.9526190476190476
30,70,0.9525
30,72,0.9523809523809523
30,74,0.9519047619047619
30,76,0.9516666666666667
30,78,0.9516666666666667
30,80,0.9501190476190476
30,82,0.9502380952380952
30,84,0.9498809523809524
30,86,0.9491666666666667
30,88,0.9495238095238095
30,90,0.9488095238095238
30,92,0.9492857142857143
30,94,0.9479761904761905
30,96,0.9488095238095238
30,98,0.9483333333333334
30,100,0.9472619047619047
30,102,0.9476190476190476
30,104,0.9469047619047619
30,106,0.9466666666666667
30,108,0.9463095238095238
30,110,0.9453571428571429
30,112,0.9453571428571429
30,114,0.9446428571428571
30,116,0.9448809523809524
30,118,0.9448809523809524
30,120,0.9445238095238095
30,122,0.9442857142857143
30,124,0.9445238095238095
30,126,0.944047619047619
30,128,0.9430952380952381
30,130,0.9427380952380953
30,132,0.9425
30,134,0.9420238095238095
30,136,0.9421428571428572
30,138,0.9417857142857143
30,140,0.9421428571428572
30,142,0.9416666666666667
30,144,0.9416666666666667
30,146,0.9414285714285714
30,148,0.9413095238095238
30,150,0.940952380952381
35,1,0.9704761904761905
35,2,0.9655952380952381
35,4,0.9721428571428572
35,6,0.9728571428571429
35,8,0.9726190476190476
35,10,0.9711904761904762
35,12,0.9689285714285715
35,14,0.9680952380952381
35,16,0.9685714285714285
35,18,0.9677380952380953
35,20,0.9670238095238095
35,22,0.9655952380952381
35,24,0.9652380952380952
35,26,0.9635714285714285
35,28,0.9628571428571429
35,30,0.9625
35,32,0.9615476190476191
35,34,0.9604761904761905
35,36,0.9607142857142857
35,38,0.9591666666666666
35,40,0.9592857142857143
35,42,0.9586904761904762
35,44,0.9586904761904762
35,46,0.9583333333333334
35,48,0.9578571428571429
35,50,0.9575
