,Alpha,K,Accuracy
427,260,110,0.823
428,260,120,0.822
429,260,130,0.814
430,260,140,0.806
431,260,150,0.8
432,270,1,0.918
433,270,10,0.917
434,270,20,0.905
435,270,30,0.898
436,270,40,0.878
437,270,50,0.876
438,270,60,0.863
439,270,70,0.856
440,270,80,0.851
441,270,90,0.84
442,270,100,0.834
443,270,110,0.822
444,270,120,0.822
445,270,130,0.815
446,270,140,0.805
447,270,150,0.799
448,280,1,0.918
449,280,10,0.917
450,280,20,0.905
451,280,30,0.898
452,280,40,0.878
453,280,50,0.875
454,280,60,0.862
455,280,70,0.855
456,280,80,0.852
457,280,90,0.841
458,280,100,0.832
459,280,110,0.822
460,280,120,0.821
461,280,130,0.814
462,280,140,0.804
463,280,150,0.798
464,290,1,0.917
465,290,10,0.916
466,290,20,0.905
467,290,30,0.898
468,290,40,0.879
469,290,50,0.876
470,290,60,0.861
471,290,70,0.854
472,290,80,0.85
473,290,90,0.841
474,290,100,0.833
475,290,110,0.821
476,290,120,0.823
477,290,130,0.816
478,290,140,0.805
479,290,150,0.797
480,300,1,0.917
481,300,10,0.917
482,300,20,0.906
483,300,30,0.897
484,300,40,0.879
485,300,50,0.875
486,300,60,0.861
487,300,70,0.854
488,300,80,0.849
489,300,90,0.841
490,300,100,0.834
491,300,110,0.821
492,300,120,0.822
493,300,130,0.813
494,300,140,0.802
495,300,150,0.796
