train_size,knn,alpha,kfold,accuracy,recall,f1,cohen_kappa,precision
6000,39,80,15,0.9025,0.9025,0.9025477319386971,0.8914480551109873,0.9108440467416227
6000,41,80,15,0.9025,0.9025,0.902403009997297,0.8914344570330985,0.9102266441460639
6000,43,80,15,0.905,0.905,0.9048677359080903,0.8942218696284543,0.9125066415347571
6000,45,80,15,0.905,0.905,0.9048929402743991,0.8942564559216385,0.9126442168040992
6000,47,80,15,0.905,0.905,0.9050086784285098,0.8942358540454786,0.913209706964841
6000,49,80,15,0.9025,0.9025,0.9025769958095613,0.8914510764434919,0.9110333077974037
6000,51,80,15,0.9,0.9,0.8999412871258606,0.8886569241475295,0.9087460205900583
6000,1,90,15,0.9525,0.9525,0.9523644404128047,0.9471046770601337,0.9540966377795645
6000,3,90,15,0.9575,0.9575,0.9574282360122132,0.9526785341480049,0.9588201122316268
6000,5,90,15,0.9525,0.9525,0.9523309008272066,0.9471179270227393,0.9543623212284699
6000,7,90,15,0.95,0.95,0.9498970498337759,0.9443211002150598,0.9522619047619049
6000,9,90,15,0.945,0.945,0.9449187941925882,0.9387561939758365,0.9481762689597462
6000,11,90,15,0.945,0.945,0.9449320839739411,0.938764291231464,0.9474176119787522
6000,13,90,15,0.95,0.95,0.949926867581485,0.9443249751202233,0.9528663563896123
6000,15,90,15,0.95,0.95,0.9499352186625609,0.9443187750130503,0.9532728129821153
6000,17,90,15,0.9425,0.9425,0.9427912580352885,0.9359799589436694,0.9467970084249154
6000,19,90,15,0.94,0.94,0.9403238359481192,0.933201127230978,0.9449737761016831
6000,21,90,15,0.935,0.935,0.9353336102192222,0.9276345545002261,0.9410576990740033
6000,23,90,15,0.935,0.935,0.9353947739690435,0.9276270006958942,0.9403648258839133
6000,25,90,15,0.925,0.925,0.925446788047802,0.9164909497066744,0.9315707893208268
6000,27,90,15,0.9225,0.9225,0.9225610106731122,0.9137097167034328,0.9289993607493983
6000,29,90,15,0.915,0.915,0.9152439222751068,0.9053564096675644,0.9228169842182389
6000,31,90,15,0.9175,0.9175,0.9178573263227789,0.908160496489922,0.9260589588982445
6000,33,90,15,0.91,0.91,0.9102742374557828,0.8997961129242138,0.9187821202726607
6000,35,90,15,0.91,0.91,0.9100471123330415,0.8998065710190506,0.9183344851375256
6000,37,90,15,0.91,0.91,0.9103039280425833,0.8997940210432556,0.9194718445856743
6000,39,90,15,0.905,0.905,0.9051806733937042,0.8942365899650007,0.9137168145154255
6000,41,90,15,0.905,0.905,0.9051806733937042,0.8942365899650007,0.9137168145154255
6000,43,90,15,0.9075,0.9075,0.9079002977355651,0.8970305846993014,0.9163716069900089
6000,45,90,15,0.9025,0.9025,0.9024401274213624,0.8914472997515813,0.9105753984542028
6000,47,90,15,0.9,0.9,0.8997817237310599,0.8886561493121038,0.9084689779192439
6000,49,90,15,0.8925,0.8925,0.8918616931138744,0.8803095251349997,0.9013247120507064
6000,51,90,15,0.8925,0.8925,0.8922312540137076,0.8803086922332868,0.9018493487929732
6000,1,100,15,0.9475,0.9475,0.9473985587121123,0.9415404101914552,0.9496473056076715
6000,3,100,15,0.955,0.955,0.9548942711733553,0.9498959645374772,0.9563262698670947
6000,5,100,15,0.95,0.95,0.9498062036573688,0.9443319485905545,0.9514183465984487
6000,7,100,15,0.95,0.95,0.949975909147729,0.9443234252228803,0.9520915233415234
6000,9,100,15,0.9425,0.9425,0.9422709044226122,0.9359737213882567,0.9460976173766871
6000,11,100,15,0.945,0.945,0.9450000579307652,0.9387617344346942,0.9479830573173598
6000,13,100,15,0.95,0.95,0.949926867581485,0.9443249751202233,0.9528663563896123
6000,15,100,15,0.95,0.95,0.9499001917948914,0.9443242001823382,0.9526078787561346
6000,17,100,15,0.94,0.94,0.9403211404370109,0.9332001976160821,0.9449145039784574
6000,19,100,15,0.94,0.94,0.9403238359481192,0.933201127230978,0.9449737761016831
6000,21,100,15,0.935,0.935,0.9350144678303658,0.9276103767740678,0.9398999840888139
6000,23,100,15,0.9275,0.9275,0.9279986081938713,0.9192897497982244,0.934457467425367
6000,25,100,15,0.9275,0.9275,0.927675003050294,0.9192936805560388,0.9338647563676633
6000,27,100,15,0.9175,0.9175,0.9174936233439649,0.9081457976702434,0.9251597387350963
6000,29,100,15,0.915,0.915,0.9152090450633855,0.9053656296316914,0.9234567273684634
6000,31,100,15,0.9175,0.9175,0.9179028555062391,0.9081573014945312,0.9261949340342197
6000,33,100,15,0.9125,0.9125,0.9128773447736461,0.9025822657973294,0.9215819022305155
6000,35,100,15,0.9125,0.9125,0.9127989288138074,0.9025775204587208,0.9213344851375256
6000,37,100,15,0.9075,0.9075,0.9077203271060312,0.897024853190838,0.9170646149707841
6000,39,100,15,0.9075,0.9075,0.9079002977355651,0.8970305846993014,0.9163716069900089
6000,41,100,15,0.9,0.9,0.8999839860359803,0.8886824876681069,0.9086018174002851
6000,43,100,15,0.8975,0.8975,0.8970638153154223,0.8858836709274736,0.9054379088177075
6000,45,100,15,0.895,0.895,0.8946321326964738,0.8830987189567951,0.9032615096502701
6000,47,100,15,0.8925,0.8925,0.8919973258837008,0.8803070263950843,0.9012379599139544
6000,49,100,15,0.895,0.895,0.8942697788552937,0.8830946515803098,0.9034182404195008
6000,51,100,15,0.8925,0.8925,0.8921479817304355,0.880312856625936,0.9014580798644701
6000,1,110,15,0.9475,0.9475,0.9470866913515317,0.9415424443609337,0.9491447645440839
6000,3,110,15,0.9575,0.9575,0.9573910890479007,0.9526788634576441,0.9584498268656516
6000,5,110,15,0.955,0.955,0.9549072668415255,0.9499001482120615,0.956098331375767
6000,7,110,15,0.945,0.945,0.9448534353218935,0.9387634389895967,0.9466356337460989
6000,9,110,15,0.94,0.94,0.9397854676581778,0.9331946193833028,0.9433482234194912
6000,11,110,15,0.9425,0.9425,0.9425079953903088,0.9359732758020739,0.9459524317504437
6000,13,110,15,0.95,0.95,0.949926867581485,0.9443249751202233,0.9528663563896123
6000,15,110,15,0.9475,0.9475,0.9477552244092249,0.941544885177453,0.9517467550607086
6000,17,110,15,0.94,0.94,0.9404087132725429,0.9332020568200005,0.9452500167692282
6000,19,110,15,0.94,0.94,0.9403238359481192,0.933201127230978,0.9449737761016831
6000,21,110,15,0.9325,0.9325,0.9327048112667512,0.9248460387599596,0.9381568173330055
6000,23,110,15,0.93,0.93,0.9305839946867015,0.9220696085389444,0.937286628775163
6000,25,110,15,0.925,0.925,0.9252437898414908,0.9165043139437796,0.9322639015024358
6000,27,110,15,0.92,0.92,0.9201716289921993,0.9109348363079707,0.9278322564882789
6000,29,110,15,0.9125,0.9125,0.9127069584854942,0.902573452657657,0.9220046075445251
6000,31,110,15,0.9175,0.9175,0.9180498788886178,0.9081585795193632,0.9267299213060842
6000,33,110,15,0.91,0.91,0.9103017572986455,0.8997863500657652,0.9204873202847936
6000,35,110,15,0.9075,0.9075,0.9078947660377217,0.896999053504816,0.918363285982221
6000,37,110,15,0.91,0.91,0.9104399514478922,0.8998184208878592,0.9197194074453674
6000,39,110,15,0.9025,0.9025,0.9028785717501693,0.8914533423325006,0.9120011094486565
6000,41,110,15,0.9025,0.9025,0.9025031935107577,0.8914684458420588,0.9112133406440993
6000,43,110,15,0.9,0.9,0.900263285783584,0.8886902318721607,0.9090650080047282
6000,45,110,15,0.8925,0.8925,0.8924661734882465,0.8803186862888356,0.9021224281371496
6000,47,110,15,0.8925,0.8925,0.8925046126003737,0.880312856625936,0.9020475951961615
6000,49,110,15,0.895,0.895,0.8953089911273818,0.8831092928112215,0.905036547517216
6000,51,110,15,0.895,0.895,0.894785074462265,0.8831027860502658,0.9039690523754428
6000,1,10,15,0.8875,0.8875,0.8865114359686492,0.8747869639316893,0.8875294168230144
6000,3,10,15,0.9,0.9,0.9006124530615303,0.8887366744782793,0.9022104402170996
6000,5,10,15,0.8875,0.8875,0.8876190344347785,0.8748113476558426,0.8890324131506417
6000,7,10,15,0.8875,0.8875,0.888408265779537,0.8748374625381572,0.8928782425430976
6000,9,10,15,0.895,0.895,0.895971644163685,0.8831767577378014,0.9005708434188766
6000,11,10,15,0.89,0.89,0.8906837316730138,0.8776026816139756,0.8939219927342661
6000,13,10,15,0.89,0.89,0.8905853247201736,0.8775933177079349,0.8938878871096011
6000,15,10,15,0.895,0.895,0.8951629916336171,0.8831588830545606,0.897747298231987
6000,17,10,15,0.8925,0.8925,0.892370820151536,0.88037944751996,0.8942391841407936
6000,19,10,15,0.895,0.895,0.8951142856814256,0.8831702584858031,0.8970137076849611
6000,21,10,15,0.8925,0.8925,0.8925947936037008,0.8803727917651968,0.8940898719873531
6000,23,10,15,0.8925,0.8925,0.8928821425289613,0.8803836069906046,0.8953449567556582
6000,25,10,15,0.8925,0.8925,0.8926621530646649,0.8803719597437735,0.8948620022102038
6000,27,10,15,0.89,0.89,0.8898110649337891,0.8776077885952712,0.8911595805088143
6000,29,10,15,0.8875,0.8875,0.8873093709507407,0.8748200538273768,0.8891722260492105
6000,31,10,15,0.8825,0.8825,0.8823994663506677,0.8692410416202982,0.8846869815062576
6000,33,10,15,0.8825,0.8825,0.8824788473667957,0.8692401321509302,0.8845730954942688
6000,35,10,15,0.885,0.885,0.8850305019198228,0.8720258174003157,0.8874361852259988
6000,37,10,15,0.8775,0.8775,0.8779255987694857,0.8637109559702946,0.8806084473566355
6000,39,10,15,0.8675,0.8675,0.8673479944587497,0.852567891790396,0.8692593250391362
6000,41,10,15,0.865,0.865,0.8648059883943007,0.8497798858048946,0.8667596164144276
6000,43,10,15,0.865,0.865,0.8651014894293168,0.8497934660157717,0.8679848386541645
6000,45,10,15,0.865,0.865,0.8647934224962499,0.8497809305236803,0.8664548528077475
6000,47,10,15,0.8675,0.8675,0.8673900737958217,0.8525719928511325,0.8689118960664212
6000,49,10,15,0.865,0.865,0.8650819578025462,0.849794510545677,0.8675349237749821
